Item Number,"Standard
Cost","Average
Cost",Wh,Description[1],Description[2],Description[3],Description[4],Description[5],Profile Info[4],"Pricing
Base",Multiplier/Price[1],Multiplier/Price[2],Multiplier/Price[3],Major Pricing,Multiplier/Price[4],Multiplier/Price[5],Multiplier/Price[6],"Price
Per",Item Number,Cross Ref ID
SHM386,0.00,173.76,HB,"6C X 11.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,380.10,456.12,380.10,304.08,304.08,0.00,402.91,EA,SHM386,SH386
SHM388,0.00,232.32,HB,"8C X 11.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,508.20,609.84,508.20,406.56,406.56,508.20,538.69,EA,SHM388,SH388
SHM364,0.00,94.66,HB,"3C X 10.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,231.00,277.20,231.00,184.80,184.80,0.00,244.86,EA,SHM364,SH364
SHM366,0.00,117.19,HB,"4C X 10.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,252.00,302.40,252.00,201.60,201.60,0.00,267.12,EA,SHM366,SH366
SHM368,0.00,131.97,HB,"5C X 10.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,289.80,347.76,289.80,231.84,231.84,0.00,307.19,EA,SHM368,SH368
SHM370,0.00,163.49,HB,"6C X 10.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,344.40,413.28,344.40,275.52,275.52,0.00,365.06,EA,SHM370,SH370
SHM372,0.00,210.24,HB,"8C X 10.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,459.90,551.88,459.90,367.92,367.92,0.00,487.49,EA,SHM372,SH372
SHM374,0.00,110.40,HB,"3C X 10.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,241.50,289.80,241.50,193.20,193.20,0.00,255.99,EA,SHM374,SH374
SHM376,0.00,114.74,HB,"4C X 10.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,273.00,327.60,273.00,218.40,218.40,0.00,289.38,EA,SHM376,SH376
SHM350,0.00,141.92,HB,"6C X 9.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,310.80,372.96,310.80,248.64,248.64,0.00,329.45,EA,SHM350,SH350
SHM352,0.00,196.80,HB,"8C X 9.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,430.50,516.60,430.50,344.40,344.40,0.00,456.33,EA,SHM352,SH352
SHM354,0.00,96.00,HB,"3C X 9.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,210.00,252.00,210.00,168.00,168.00,0.00,222.60,EA,SHM354,SH354
SHM356,0.00,109.01,HB,"4C X 9.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,239.40,287.28,239.40,191.52,191.52,0.00,253.76,EA,SHM356,SH356
SHM358,0.00,118.69,HB,"5C X 9.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,285.60,342.72,285.60,228.48,228.48,0.00,302.74,EA,SHM358,SH358
SHM360,0.00,151.68,HB,"6C X 9.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,331.80,398.16,331.80,265.44,265.44,0.00,351.71,EA,SHM360,SH360
SHM362,0.00,201.60,HB,"8C X 9.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,441.00,529.20,441.00,352.80,352.80,0.00,467.46,EA,SHM362,SH362
SHM336,0.00,99.46,HB,"4C X 8.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,218.40,262.08,218.40,174.72,174.72,0.00,231.50,EA,SHM336,SH336
SHM338,0.00,125.62,HB,"5C X 8.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,264.60,317.52,264.60,211.68,211.68,0.00,280.48,EA,SHM338,SH338
SHM340,0.00,130.81,HB,"6C X 8.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,302.40,362.88,302.40,241.92,241.92,0.00,320.54,EA,SHM340,SH340
SHM342,0.00,195.84,HB,"8C X 8.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,428.40,514.08,428.40,342.72,342.72,0.00,454.10,EA,SHM342,SH342
SHM344,0.00,88.10,HB,"3C X 9.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,197.40,236.88,197.40,157.92,157.92,0.00,209.24,EA,SHM344,SH344
SHM346,0.00,107.10,HB,"4C X 9.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,235.20,282.24,235.20,188.16,188.16,0.00,249.31,EA,SHM346,SH346
SHM348,0.00,121.22,HB,"5C X 9.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,268.80,322.56,268.80,215.04,215.04,0.00,284.93,EA,SHM348,SH348
SHM322,0.00,75.74,HB,"5C X 7.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,235.20,282.24,235.20,188.16,188.16,0.00,249.31,EA,SHM322,SH322
SHM324,0.00,131.60,HB,"6C X 7.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,277.20,332.64,277.20,221.76,221.76,0.00,293.83,EA,SHM324,SH324
SHM326,0.00,74.59,HB,"3C X 8.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,163.80,196.56,163.80,131.04,131.04,0.00,173.63,EA,SHM326,SH326
SHM328,0.00,90.02,HB,"4C X 8.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,205.80,246.96,205.80,164.64,164.64,0.00,218.15,EA,SHM328,SH328
SHM330,0.00,112.84,HB,"5C X 8.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,247.80,297.36,247.80,198.24,198.24,293.49,293.49,EA,SHM330,SH330
SHM332,0.00,139.57,HB,"6C X 8.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,299.88,359.86,299.88,239.90,239.90,0.00,317.87,EA,SHM332,SH332
SHM334,0.00,84.48,HB,"3C X 8.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,184.80,221.76,184.80,147.84,147.84,0.00,195.89,EA,SHM334,SH334
SHM310,0.00,118.90,HB,"6C X 6.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,260.40,312.48,260.40,208.32,208.32,303.37,303.37,EA,SHM310,SH310
SHM312,0.00,68.86,HB,"3C X 7.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,153.30,183.96,153.30,122.64,122.64,0.00,162.50,EA,SHM312,SH312
SHM314,0.00,78.41,HB,"4C X 7.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,174.30,209.16,174.30,139.44,139.44,0.00,184.76,EA,SHM314,SH314
SHM316,0.00,84.16,HB,"5C X 7.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,184.80,221.76,184.80,147.84,147.84,0.00,217.50,EA,SHM316,SH316
SHM318,0.00,101.39,HB,"6C X 7.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,260.40,312.48,260.40,208.32,208.32,0.00,276.02,EA,SHM318,SH318
SHM319,72.48,70.77,HB,"3C X 7.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,158.55,190.26,158.55,126.84,126.84,0.00,168.06,EA,SHM319,SH319
SHM320,0.00,82.24,HB,"4C X 7.5"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,180.60,216.72,180.60,144.48,144.48,0.00,191.44,EA,SHM320,SH320
SEL100,0.00,5.22,HB,DUCT SEAL,,,,IDE 31-601 (1lb/box),SEALER,P,9.90,11.88,6.19,5.57,5.57,4.64,10.49,LB,SEL100,QAD0001
SEL100,0.00,5.22,HB,DUCT SEAL,,,,IDE 31-601 (1lb/box),SEALER,P,9.90,11.88,6.19,5.57,5.57,4.64,10.49,LB,SEL100,SE100
SEL104,0.00,19.27,hb,SILICONE SEALER,,,,,SEALER,P,27.91,33.49,24.27,23.06,23.06,14.04,29.58,EA,SEL104,SE104
SEL104,0.00,19.27,hb,SILICONE SEALER,,,,,SEALER,P,27.91,33.49,24.27,23.06,23.06,14.04,29.58,EA,SEL104,XM080
SHM300,0.00,65.51,HB,"3C X 5.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,142.80,171.36,142.80,114.24,114.24,0.00,151.37,EA,SHM300,SH300
SHM302,0.00,74.59,HB,"4C X 5.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,163.80,196.56,163.80,131.04,131.04,0.00,173.63,EA,SHM302,SH302
SHM304,0.00,66.93,HB,"3C X 6.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,153.30,183.96,153.30,122.64,122.64,0.00,162.50,EA,SHM304,SH304
SHM306,0.00,76.50,HB,"4C X 6.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,172.20,206.64,172.20,137.76,137.76,0.00,182.53,EA,SHM306,SH306
SHM308,0.00,82.24,HB,"5C X 6.0"" ""C"" QD SHEAVE",,,,,"STOCK """"C"""" QD SHEAVES",P,182.70,219.24,182.70,146.16,146.16,293.76,293.76,EA,SHM308,SH308
SCR648,0.00,21.92,HB,"1/4"" LAG SCREW",,,,,LAG SCREWS,P,69.00,82.80,60.00,,60.00,0.00,73.14,C,SCR648,SC648
SCR650,0.00,66.67,HB,"3/8"" LAG SCREW",,,,,LAG SCREWS,P,101.20,121.44,88.00,,88.00,80.82,80.82,C,SCR650,FASTENAL 1122265
SCR650,0.00,66.67,HB,"3/8"" LAG SCREW",,,,,LAG SCREWS,P,101.20,121.44,88.00,,88.00,80.82,80.82,C,SCR650,SC650
SCR652,0.00,32.93,HB,"1/2"" LAG SCREW",,,,CHN 508754/MGR DF9L4 (250/box),LAG SCREWS,P,136.85,164.22,119.00,,119.00,129.60,129.60,C,SCR652,RAB0008
SCR652,0.00,32.93,HB,"1/2"" LAG SCREW",,,,CHN 508754/MGR DF9L4 (250/box),LAG SCREWS,P,136.85,164.22,119.00,,119.00,129.60,129.60,C,SCR652,SC652
SCM388,0.00,0.09,HB,"3/8 X 1"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.45,0.54,0.45,0.41,0.41,0.00,0.48,EA,SCM388,SC602
SCM390,0.00,0.21,HB,"3/8 X 1 1/4"" ZINC MACHINE",SCREW,,,BM MACHINE BOLT HEX CAP,ZINC MACHINE SCREWS,P,0.52,0.62,0.52,0.47,0.47,0.56,0.56,EA,SCM390,QAC0404
SCM390,0.00,0.21,HB,"3/8 X 1 1/4"" ZINC MACHINE",SCREW,,,BM MACHINE BOLT HEX CAP,ZINC MACHINE SCREWS,P,0.52,0.62,0.52,0.47,0.47,0.56,0.56,EA,SCM390,SC604
SCM392,0.00,0.09,HB,"3/8 X 1 1/2"" ZINC MACHINE",SCREW,,,,ZINC MACHINE SCREWS,P,0.60,0.72,0.60,0.54,0.54,0.60,0.60,EA,SCM392,SC606
SCM394,0.00,0.21,HB,"3/8 X 2"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.73,0.88,0.73,0.66,0.66,1.62,1.62,EA,SCM394,SC608
SCM362,0.00,0.26,HB,"1/4 X 1 1/2"" ZINC MACHINE",PHILLIP ROUND HEAD SCREW,,,DOTT RMC14112 (100/box)(45/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.50,0.50,EA,SCM362,QAC1024A
SCM362,0.00,0.26,HB,"1/4 X 1 1/2"" ZINC MACHINE",PHILLIP ROUND HEAD SCREW,,,DOTT RMC14112 (100/box)(45/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.50,0.50,EA,SCM362,SC590
SCM364,0.00,0.09,HB,"1/4  X 2"" ZINC MACHINE SCREW",,,,DOTT RMC142 (100/box)(40/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.49,0.50,EA,SCM364,QAC1015
SCM364,0.00,0.09,HB,"1/4  X 2"" ZINC MACHINE SCREW",,,,DOTT RMC142 (100/box)(40/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.49,0.50,EA,SCM364,SC592
SCM370,0.00,0.16,HB,"5/16 X 1/2"" ZINC MACHINE SCRE",,,,,ZINC MACHINE SCREWS,P,0.43,0.52,0.43,0.39,0.39,0.00,0.46,EA,SCM370,SC594
SCM374,0.00,0.08,HB,"5/16 X 1"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.47,0.56,0.47,0.42,0.42,0.00,0.50,EA,SCM374,SC596
SCM378,0.00,0.15,HB,"5/16 X 1 1/2"" ZINC MACHINE",SCREW,,,(24/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.54,0.63,EA,SCM378,QAC0605
SCM378,0.00,0.15,HB,"5/16 X 1 1/2"" ZINC MACHINE",SCREW,,,(24/lb),ZINC MACHINE SCREWS,P,0.50,0.60,0.50,0.45,0.45,0.54,0.63,EA,SCM378,SC598
SCM386,0.00,0.14,HB,"3/8 X 3/4"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.40,0.48,0.40,0.36,0.36,0.00,0.42,EA,SCM386,SC600
SCM338,0.00,0.13,HB,"10/32 X 1/2"" ZINC MACHINE",SCREW,,,FAST (100/box)(171/lb),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.00,0.21,EA,SCM338,QAC1119
SCM338,0.00,0.13,HB,"10/32 X 1/2"" ZINC MACHINE",SCREW,,,FAST (100/box)(171/lb),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.00,0.21,EA,SCM338,SC578
SCM342,0.00,0.08,HB,"10/32 X 1""ZINC MACHINE SCREW",,,,FAST (100/box)(110/lb),ZINC MACHINE SCREWS,P,0.23,0.28,0.23,0.21,0.21,0.24,0.24,EA,SCM342,QAC1122B
SCM342,0.00,0.08,HB,"10/32 X 1""ZINC MACHINE SCREW",,,,FAST (100/box)(110/lb),ZINC MACHINE SCREWS,P,0.23,0.28,0.23,0.21,0.21,0.24,0.24,EA,SCM342,SC582
SCM354,0.00,0.08,HB,"1/4 X 1/2"" ZINC MACHINE SCREW",,,,FAST 29161 (100/box)(96/lb),ZINC MACHINE SCREWS,P,0.27,0.32,0.27,0.24,0.24,0.27,0.27,EA,SCM354,QAC1010
SCM354,0.00,0.08,HB,"1/4 X 1/2"" ZINC MACHINE SCREW",,,,FAST 29161 (100/box)(96/lb),ZINC MACHINE SCREWS,P,0.27,0.32,0.27,0.24,0.24,0.27,0.27,EA,SCM354,SC584
SCM356,0.00,0.05,HB,"1/4 X 3/4"" ZINC MACHINE SCREW",,,COMBO MACHINE SCREW,BS DOTT RMC1434 (100/box),ZINC MACHINE SCREWS,P,0.33,0.40,0.33,0.30,0.30,0.43,0.33,EA,SCM356,QAC1021A
SCM356,0.00,0.05,HB,"1/4 X 3/4"" ZINC MACHINE SCREW",,,COMBO MACHINE SCREW,BS DOTT RMC1434 (100/box),ZINC MACHINE SCREWS,P,0.33,0.40,0.33,0.30,0.30,0.43,0.33,EA,SCM356,SC586
SCM358,0.00,0.12,HB,"1/4 X 1"" ZINC MACHINE SCREW",COMBO,,,BS DOTT RMC141 (100/box),ZINC MACHINE SCREWS,P,0.37,0.44,0.37,0.33,0.33,0.22,0.37,EA,SCM358,QAC1022A
SCM358,0.00,0.12,HB,"1/4 X 1"" ZINC MACHINE SCREW",COMBO,,,BS DOTT RMC141 (100/box),ZINC MACHINE SCREWS,P,0.37,0.44,0.37,0.33,0.33,0.22,0.37,EA,SCM358,SC588
SCM306,0.00,0.09,HB,"6/32 X 1"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.17,0.20,0.17,0.15,0.15,0.17,0.18,EA,SCM306,SC566
SCM318,0.00,0.02,HB,"8/32 X 3/8"" ZINC MACHINE SCRE",,,,,ZINC MACHINE SCREWS,P,0.13,0.16,0.13,0.12,0.12,0.00,0.14,EA,SCM318,SC568
SCM320,0.00,0.04,HB,"8/32 X 1/2"" ZINC MACHINE SCRE",,,,FAST 1128879 (100/box)(233/lb),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.20,0.20,EA,SCM320,QAC1820
SCM320,0.00,0.04,HB,"8/32 X 1/2"" ZINC MACHINE SCRE",,,,FAST 1128879 (100/box)(233/lb),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.20,0.20,EA,SCM320,SC570
SCM322,0.00,0.04,HB,"8/32 X 3/4"" ZINC MACHINE SCRE",,,,,ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.20,0.20,EA,SCM322,SC572
SCM324,0.00,0.05,HB,"8/32 X 1"" ZINC MACHINE SCREW",,,,FAST (100/box),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.20,0.20,EA,SCM324,QAC1822
SCM324,0.00,0.05,HB,"8/32 X 1"" ZINC MACHINE SCREW",,,,FAST (100/box),ZINC MACHINE SCREWS,P,0.20,0.24,0.20,0.18,0.18,0.20,0.20,EA,SCM324,SC574
SCM336,0.00,0.03,HB,"10/32 X 3/8"" ZINC MACHINE",SCREW,,,,ZINC MACHINE SCREWS,P,0.17,0.20,0.17,0.15,0.15,0.00,0.18,EA,SCM336,ANGELO BOLT SCRPPM303206ZB
SCM336,0.00,0.03,HB,"10/32 X 3/8"" ZINC MACHINE",SCREW,,,,ZINC MACHINE SCREWS,P,0.17,0.20,0.17,0.15,0.15,0.00,0.18,EA,SCM336,SC576
SCS186,0.00,0.05,HB,"1/4"" X 3/4"" ZINC G.P. MTL SC",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.33,0.40,0.33,0.30,0.30,0.36,0.35,EA,SCS186,SC520
SCS188,0.00,0.06,HB,"1/4"" X 1"" ZINC G.P. MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.37,0.44,0.37,0.33,0.33,0.27,0.39,EA,SCS188,SC522
SCS192,0.00,0.11,HB,"1/4"" X 1 1/2"" ZINC GP MTL SC",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.49,0.59,0.49,0.44,0.44,0.64,0.52,EA,SCS192,SC523
SCM300,0.00,0.02,HB,"6/32 X 3/8"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.10,0.12,0.10,0.09,0.09,0.10,0.11,EA,SCM300,SC560
SCM302,0.00,0.08,HB,"6/32 X 1/2"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.13,0.16,0.13,0.12,0.12,0.00,0.14,EA,SCM302,SC562
SCM304,0.00,0.03,HB,"6/32 X 3/4"" ZINC MACHINE SCREW",,,,,ZINC MACHINE SCREWS,P,0.17,0.20,0.17,0.15,0.15,0.17,0.18,EA,SCM304,SC564
SCS126,0.00,0.07,HB,"#8"" X 1 1/2"" ZINC GP MTL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.22,0.26,0.22,0.20,0.20,0.14,0.23,EA,SCS126,SC511
SCS144,0.00,0.04,HB,"#10"" X 1"" ZINC G.P. MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.27,0.32,0.27,0.24,0.24,0.14,0.29,EA,SCS144,SC516
SCS146,0.00,0.04,HB,"#10 X 1 1/2"" ZINC GP MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.28,0.34,0.28,0.25,0.25,0.14,0.30,EA,SCS146,SC517
SCS184,0.00,0.05,HB,"1/4"" X 1/2"" ZINC G.P. MTL SC",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.31,0.37,0.31,0.28,0.28,0.00,0.33,EA,SCS184,SC518
SCS100,0.00,0.03,HB,"#6"" X 1/2"" ZINC GP MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.14,0.17,0.14,0.13,0.13,0.00,0.15,EA,SCS100,SC500
SCS102,0.00,0.03,HB,"#6"" X 3/4"" ZINC GP MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.15,0.18,0.15,0.14,0.14,0.00,0.16,EA,SCS102,SC502
SCS104,0.00,0.06,HB,"#6"" X 1"" ZINC G.P. METAL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,FAST (100/box)(200/lb),"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.16,0.19,0.16,0.14,0.14,0.00,0.17,EA,SCS104,QAC2602
SCS104,0.00,0.06,HB,"#6"" X 1"" ZINC G.P. METAL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,FAST (100/box)(200/lb),"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.16,0.19,0.16,0.14,0.14,0.00,0.17,EA,SCS104,SC504
SCS106,0.00,0.10,HB,"#6"" X 1 1/2"" ZINC GP MTL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.25,0.30,0.25,0.23,0.23,0.00,0.27,EA,SCS106,SC505
SCS122,0.00,0.03,HB,"#8"" X 3/4"" ZINC GP MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,FAST 1131051 (100/box)(234/lb),"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.16,0.19,0.16,0.14,0.14,0.14,0.17,EA,SCS122,QAC2841
SCS122,0.00,0.03,HB,"#8"" X 3/4"" ZINC GP MTL SCRW",PANHEAD/HEX HEAD SELF-DRILL,,,FAST 1131051 (100/box)(234/lb),"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.16,0.19,0.16,0.14,0.14,0.14,0.17,EA,SCS122,SC508
SCS124,0.00,0.04,HB,"#8"" X 1"" ZINC G.P. METAL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.18,0.22,0.18,0.16,0.16,0.14,0.19,EA,SCS124,QAC2832
SCS124,0.00,0.04,HB,"#8"" X 1"" ZINC G.P. METAL SCR",PANHEAD/HEX HEAD SELF-DRILL,,,,"(PANHEAD, SELF-DRILLING, OR SELF-TAPPING)",P,0.18,0.22,0.18,0.16,0.16,0.14,0.19,EA,SCS124,SC510
SCO602,0.00,0.04,HB,WIRENUT YELLOW,(SCOTCHLOK),,,,SCOTCHLOKS,P,0.25,0.30,0.25,,0.25,0.22,0.23,EA,SCO602,SC460
SCO610,0.00,0.05,HB,#22-10 600V TYPE R/Y,(RED/YELLOW) SCOTCHL,,,,SCOTCHLOKS,P,0.29,0.35,0.29,,0.29,0.00,0.31,EA,SCO610,SC461
SAK100,0.00,3.95,HB,80 LB. QUICKRETE MIX,,,,HANKS 60# (28/pallet),SACKRETE,P,7.49,8.99,7.49,6.74,6.74,10.42,10.42,EA,SAK100,EPIC HA156
SAK100,0.00,3.95,HB,80 LB. QUICKRETE MIX,,,,HANKS 60# (28/pallet),SACKRETE,P,7.49,8.99,7.49,6.74,6.74,10.42,10.42,EA,SAK100,QAD0010
SAK100,0.00,3.95,HB,80 LB. QUICKRETE MIX,,,,HANKS 60# (28/pallet),SACKRETE,P,7.49,8.99,7.49,6.74,6.74,10.42,10.42,EA,SAK100,SA100
SCO400,0.00,7.47,HB,#8424-8 SPLICE,"SCOTCH COLD SHRINK (.1"""" -.39""",,,,SCOTCH COLD SHRINK SPLICE,P,17.42,20.90,17.42,15.68,15.68,0.00,18.47,EA,SCO400,SC400
SCO404,0.00,0.00,HB,SCOTCH COLD SHRINK SPLICE,"#8426-9 (.51"""" - 1.18"""")",,,,SCOTCH COLD SHRINK SPLICE,P,18.17,21.80,18.17,16.35,16.35,0.00,19.26,EA,SCO404,SC404
SCO440,0.00,26.14,HB,#82-A1 SCOTCHCAST SPLICE KIT,,,,,SCOTCH COLD SHRINK SPLICE,P,27.30,32.76,27.30,,27.30,27.30,28.94,EA,SCO440,SC440
SCO442,0.00,40.11,HB,#82-A2 SCOTCHCAST SPLICE KIT,,,,,SCOTCHCAST SPLICING KITS,P,43.53,52.24,43.53,,43.53,0.00,46.14,EA,SCO442,SC442
SCO446,0.00,68.79,HB,#82-A3 SCOTCHCAST SPLICE KIT,,,,,SCOTCHCAST SPLICING KITS,P,71.72,86.06,71.72,,71.72,0.00,76.02,EA,SCO446,SC446
ROD640,0.00,544.99,HB,5/8 X 6' ANCHOR ROD,TWIN EYE #5346,,,,ANCHOR RODS,P,2429.95,2915.94,2113.00,,2113.00,0.00,2575.75,C,ROD640,RO640
ROD644,0.00,1317.65,HB,5/8 X 7' ANCHOR ROD,TWIN EYE #5347,,,,ANCHOR RODS,P,2513.90,3016.68,2186.00,,2186.00,0.00,2664.73,C,ROD644,RO644
ROD648,0.00,33.60,HB,3/4 X 7' ANCHOR ROD,TWIN EYE #5357,,,,ANCHOR RODS,P,3661.60,4393.92,3184.00,,3184.00,0.00,3881.30,C,ROD648,RO648
ROD670,0.00,1053.18,HB,"5/8"" X 8-FT GROUND ROD",,,,GRD 5/8X8FT CU,GRD RODS,P,3341.90,4010.28,2906.00,2324.80,2325.00,2521.80,3341.90,C,ROD670,RAA5808
ROD670,0.00,1053.18,HB,"5/8"" X 8-FT GROUND ROD",,,,GRD 5/8X8FT CU,GRD RODS,P,3341.90,4010.28,2906.00,2324.80,2325.00,2521.80,3341.90,C,ROD670,RO670
ROD670,0.00,1053.18,HB,"5/8"" X 8-FT GROUND ROD",,,,GRD 5/8X8FT CU,GRD RODS,P,3341.90,4010.28,2906.00,2324.80,2325.00,2521.80,3341.90,C,ROD670,XER040
ROD680,0.00,49.01,HB,3/4 X 7' TE TUBECO ANCHOR,ROD W/PLASTIC SLEEVE,,,,TUBECO ANCHOR ROD,P,82.65,99.18,71.87,64.68,64.68,0.00,87.61,EA,ROD680,RO680
REL640,0.00,11.81,HB,OVERLOAD RESET KIT,,,,,RESET KITS,P,36.49,43.79,31.28,,31.28,37.86,38.68,EA,REL640,RE640
REL640,0.00,11.81,HB,OVERLOAD RESET KIT,,,,,RESET KITS,P,36.49,43.79,31.28,,31.28,37.86,38.68,EA,REL640,XLK227
REL640,0.00,11.81,HB,OVERLOAD RESET KIT,,,,,RESET KITS,P,36.49,43.79,31.28,,31.28,37.86,38.68,EA,REL640,XLK670
REL646,0.00,12.04,HB,TRIPLE RESET KIT,,,,,RESET KITS,P,30.18,36.22,30.18,27.16,27.16,34.02,34.02,EA,REL646,RE646
